iter	Accuracy	MultiClass
718	1	0.1346837002
719	1	0.1345426184
720	1	0.1343058704
721	1	0.1340304458
722	1	0.1339177446
723	1	0.133629233
724	1	0.1334708623
725	1	0.1332782265
726	1	0.1329963036
727	1	0.1327965304
728	1	0.1326570707
729	1	0.1324403047
730	1	0.1323119638
731	1	0.1319832118
732	1	0.1317304816
733	1	0.1314429222
734	1	0.1312440382
735	1	0.1310564632
736	1	0.1308778293
737	1	0.1305787553
738	1	0.1303246034
739	1	0.1300615474
740	1	0.1298995221
741	1	0.1297379243
742	1	0.1295885926
743	1	0.1294237958
744	1	0.1292510288
745	1	0.1290163255
746	1	0.1287746302
747	1	0.1285697448
748	1	0.1283609574
749	1	0.1281236443
750	1	0.1279516034
751	1	0.1277255634
752	1	0.1275139149
753	1	0.1273331537
754	1	0.1271447107
755	1	0.1269097999
756	1	0.126642191
757	1	0.1265576795
758	1	0.126322786
759	1	0.1261399499
760	1	0.1259519231
761	1	0.1258227297
762	1	0.1255837996
763	1	0.1254104412
764	1	0.1252374579
765	1	0.1249887415
766	1	0.1247755757
767	1	0.1246376741
768	1	0.1245156853
769	1	0.1243317478
770	1	0.1242653418
771	1	0.1241512875
772	1	0.1239927143
773	1	0.1237988371
774	1	0.1236661552
775	1	0.1234929077
776	1	0.123325004
777	1	0.1231716871
778	1	0.1229847364
779	1	0.1228367309
780	1	0.1226392843
781	1	0.1223769015
782	1	0.1222331708
783	1	0.1220534789
784	1	0.12186649
785	1	0.1216748477
786	1	0.1215033045
787	1	0.1214257755
788	1	0.1212962678
789	1	0.1211304956
790	1	0.1208754366
791	1	0.1206828899
792	1	0.1205143358
793	1	0.1204111362
794	1	0.1202456954
795	1	0.1200731107
796	1	0.1199343695
797	1	0.1198181695
798	1	0.1196466679
799	1	0.1194496613
800	1	0.1193124917
801	1	0.1191108541
802	1	0.1190530662
803	1	0.1188462621
804	1	0.1186733214
805	1	0.1185764788
806	1	0.1183888942
807	1	0.1182815236
808	1	0.1181319745
809	1	0.1179502391
810	1	0.1177274474
811	1	0.1175946762
812	1	0.1173951907
813	1	0.1171869986
814	1	0.1170897834
815	1	0.1169374543
816	1	0.1168046655
817	1	0.1166742238
818	1	0.1165489128
819	1	0.1163428112
